Run,Mode,NPC_Count,Survival_Time,Avg_FPS,Avg_CPU,Avg_RAM_MB
1,Adaptive,100,0.61,119.17,3.93,56.64
2,Adaptive,100,0.53,102.15,3.03,56.69
3,Adaptive,100,0.55,102.03,2.77,56.7
4,Adaptive,100,0.45,98.07,4.37,56.7
5,Adaptive,100,0.41,93.73,5.39,56.71
6,Adaptive,100,0.45,98.32,3.78,56.85
7,Adaptive,100,0.44,96.02,3.68,56.86
8,Adaptive,100,0.5,99.34,15.09,56.86
9,Adaptive,100,0.52,102.83,3.05,56.86
10,Adaptive,100,0.56,101.07,12.69,56.86
11,Adaptive,100,0.44,96.7,2.89,56.86
12,Adaptive,100,0.44,96.59,5.4,56.86
13,Adaptive,100,0.48,100.7,9.9,56.86
14,Adaptive,100,0.5,98.21,8.57,56.86
15,Adaptive,100,0.63,102.23,14.92,56.86
16,Adaptive,100,0.61,102.02,9.58,56.86
17,Adaptive,100,0.4,96.55,7.04,56.86
18,Adaptive,100,0.5,100.8,6.46,56.86
19,Adaptive,100,0.45,98.77,6.29,56.86
20,Adaptive,100,0.38,94.85,6.02,56.86
21,Adaptive,100,0.43,96.92,7.05,56.86
22,Adaptive,100,0.54,101.07,8.94,56.86
23,Adaptive,100,0.45,98.85,6.39,56.86
24,Adaptive,100,0.46,98.29,10.82,56.86
25,Adaptive,100,0.45,98.84,7.96,56.86
26,Adaptive,100,0.5,100.18,11.75,56.86
27,Adaptive,100,0.44,97.15,7.22,56.86
28,Adaptive,100,0.45,96.1,16.34,56.86
29,Adaptive,100,0.5,100.53,9.14,56.86
30,Adaptive,100,0.37,95.15,2.85,56.86
31,Adaptive,100,0.59,101.73,6.1,56.86
32,Adaptive,100,0.44,96.34,6.58,56.86
33,Adaptive,100,0.47,94.81,4.21,56.86
34,Adaptive,100,0.53,100.05,2.73,56.86
35,Adaptive,100,0.59,102.3,4.51,56.86
36,Adaptive,100,0.55,100.47,13.73,56.86
37,Adaptive,100,0.52,101.04,1.88,56.86
38,Adaptive,100,0.45,99.17,4.39,56.86
39,Adaptive,100,0.37,91.97,3.75,56.86
40,Adaptive,100,0.48,97.0,2.81,56.86
41,Adaptive,100,0.35,91.66,3.6,56.86
42,Adaptive,100,0.44,95.34,5.45,56.86
43,Adaptive,100,0.54,101.0,7.1,56.86
44,Adaptive,100,0.51,101.46,10.5,56.86
45,Adaptive,100,0.54,100.93,9.59,56.86
46,Adaptive,100,0.48,99.73,5.2,56.86
47,Adaptive,100,0.54,101.23,8.77,56.86
48,Adaptive,100,0.51,101.65,10.05,56.8
49,Adaptive,100,0.44,98.19,10.92,56.8
50,Adaptive,100,0.53,100.99,11.5,56.8
51,Adaptive,100,0.44,98.67,5.39,56.8
52,Adaptive,100,0.5,98.54,5.75,56.8
53,Adaptive,100,0.49,98.85,7.89,56.8
54,Adaptive,100,0.44,96.66,7.61,56.8
55,Adaptive,100,0.5,100.17,8.81,56.8
56,Adaptive,100,0.41,97.24,16.63,56.8
57,Adaptive,100,0.54,102.5,8.52,56.8
58,Adaptive,100,0.49,98.39,11.98,56.8
59,Adaptive,100,0.49,98.94,4.38,56.8
60,Adaptive,100,0.54,102.22,4.4,56.8
61,Adaptive,100,0.43,97.75,6.45,56.8
62,Adaptive,100,0.39,93.85,5.05,56.8
63,Adaptive,100,0.51,102.02,9.38,56.8
64,Adaptive,100,0.71,105.98,6.83,56.8
65,Adaptive,100,0.49,99.53,4.77,56.82
66,Adaptive,100,0.42,96.44,5.63,56.82
67,Adaptive,100,0.43,95.2,6.03,56.82
68,Adaptive,100,0.47,97.97,5.35,56.82
69,Adaptive,100,0.51,98.2,18.53,56.82
70,Adaptive,100,0.51,98.71,4.49,56.82
71,Adaptive,100,0.48,99.23,4.69,56.82
72,Adaptive,100,0.51,100.21,2.95,56.82
73,Adaptive,100,0.45,98.05,5.81,56.82
74,Adaptive,100,0.47,96.72,9.96,56.82
75,Adaptive,100,0.44,97.06,12.37,56.82
76,Adaptive,100,0.4,94.63,10.54,56.82
77,Adaptive,100,0.49,99.65,7.25,56.82
78,Adaptive,100,0.51,97.6,13.62,56.82
79,Adaptive,100,0.44,97.7,6.63,56.82
80,Adaptive,100,0.5,98.45,3.43,56.82
81,Adaptive,100,0.38,95.21,5.92,56.82
82,Adaptive,100,0.47,98.59,3.99,56.82
83,Adaptive,100,0.53,99.85,12.54,56.82
84,Adaptive,100,0.49,98.21,5.63,56.82
85,Adaptive,100,0.42,95.26,3.43,56.82
86,Adaptive,100,0.45,98.75,6.79,56.82
87,Adaptive,100,0.46,97.78,15.64,56.82
88,Adaptive,100,0.62,101.74,8.13,56.82
89,Adaptive,100,0.47,97.57,1.62,56.82
90,Adaptive,100,0.62,105.0,3.09,56.82
91,Adaptive,100,0.48,100.21,6.86,56.82
92,Adaptive,100,0.47,98.69,7.32,56.82
93,Adaptive,100,0.45,96.94,9.46,56.82
94,Adaptive,100,0.61,103.81,6.03,56.82
95,Adaptive,100,0.52,102.46,3.57,56.82
96,Adaptive,100,0.51,100.42,2.68,56.82
97,Adaptive,100,0.45,96.95,9.12,56.82
98,Adaptive,100,0.58,102.09,4.48,56.82
99,Adaptive,100,0.52,102.57,3.84,56.82
100,Adaptive,100,0.59,102.94,4.24,56.82

