Run,Mode,NPC_Count,Survival_Time,Avg_FPS,Avg_CPU,Avg_RAM_MB
1,Baseline,100,0.98,116.29,8.35,56.65
2,Baseline,100,1.11,110.36,3.94,56.71
3,Baseline,100,0.9,108.03,6.01,56.73
4,Baseline,100,0.78,105.54,4.65,56.73
5,Baseline,100,0.94,107.9,6.97,56.73
6,Baseline,100,0.89,106.76,15.52,56.73
7,Baseline,100,0.83,107.04,6.42,56.74
8,Baseline,100,0.79,106.28,5.83,56.75
9,Baseline,100,0.85,106.78,6.92,56.75
10,Baseline,100,0.83,107.28,3.46,56.75
11,Baseline,100,0.9,106.56,10.14,56.75
12,Baseline,100,0.92,108.56,5.23,56.75
13,Baseline,100,0.76,104.99,14.56,56.75
14,Baseline,100,1.04,107.22,7.03,56.75
15,Baseline,100,0.82,104.5,7.85,56.75
16,Baseline,100,0.91,106.37,12.51,56.75
17,Baseline,100,0.83,107.22,5.42,56.75
18,Baseline,100,0.98,108.85,8.33,56.75
19,Baseline,100,1.11,105.94,14.65,56.75
20,Baseline,100,0.93,107.29,7.4,56.75
21,Baseline,100,0.95,107.32,10.82,56.75
22,Baseline,100,1.0,107.55,11.72,56.75
23,Baseline,100,1.0,109.02,8.24,56.75
24,Baseline,100,0.91,107.45,6.23,56.75
25,Baseline,100,0.98,107.06,4.12,56.75
26,Baseline,100,1.13,110.29,6.08,56.75
27,Baseline,100,0.84,105.77,7.52,56.75
28,Baseline,100,0.93,109.65,5.58,56.76
29,Baseline,100,0.88,107.14,11.42,56.76
30,Baseline,100,0.89,106.76,3.82,56.76
31,Baseline,100,1.06,109.31,4.75,56.76
32,Baseline,100,0.95,107.75,3.59,56.76
33,Baseline,100,0.8,107.22,2.46,56.76
34,Baseline,100,0.95,107.61,3.55,56.76
35,Baseline,100,0.76,106.23,4.41,56.76
36,Baseline,100,1.0,108.83,3.72,56.7
37,Baseline,100,0.9,108.76,5.87,56.7
38,Baseline,100,0.74,107.93,3.88,56.7
39,Baseline,100,0.85,110.03,3.45,56.7
40,Baseline,100,0.86,109.41,3.97,56.7
41,Baseline,100,1.04,110.67,5.65,56.7
42,Baseline,100,0.81,107.92,3.1,56.7
43,Baseline,100,0.81,108.25,3.22,56.7
44,Baseline,100,0.91,109.07,2.34,56.7
45,Baseline,100,0.85,106.91,7.49,56.7
46,Baseline,100,0.86,109.06,4.19,56.7
47,Baseline,100,0.98,109.37,3.33,56.7
48,Baseline,100,1.07,109.43,3.49,56.7
49,Baseline,100,0.79,106.14,2.89,56.7
50,Baseline,100,0.9,110.01,2.98,56.7
51,Baseline,100,1.11,109.63,5.2,56.7
52,Baseline,100,0.89,107.74,5.92,56.7
53,Baseline,100,1.08,110.6,2.75,56.7
54,Baseline,100,1.03,108.92,3.1,56.7
55,Baseline,100,0.8,107.02,5.68,56.7
56,Baseline,100,0.8,107.32,4.75,56.7
57,Baseline,100,0.93,108.12,6.98,56.7
58,Baseline,100,0.9,106.26,8.25,56.7
59,Baseline,100,0.86,107.7,5.43,56.7
60,Baseline,100,0.92,109.16,6.94,56.7
61,Baseline,100,0.94,108.2,10.37,56.7
62,Baseline,100,1.05,108.27,5.6,56.7
63,Baseline,100,0.81,107.55,5.54,56.7
64,Baseline,100,0.96,107.89,4.02,56.7
65,Baseline,100,0.9,108.4,3.68,56.7
66,Baseline,100,0.74,105.31,2.71,56.7
67,Baseline,100,0.96,108.93,2.59,56.7
68,Baseline,100,0.85,107.89,5.57,56.7
69,Baseline,100,0.81,108.17,5.31,56.7
70,Baseline,100,0.92,107.39,7.08,56.7
71,Baseline,100,0.91,108.76,4.11,56.7
72,Baseline,100,0.89,107.85,5.15,56.7
73,Baseline,100,0.96,109.47,4.57,56.7
74,Baseline,100,0.81,107.39,3.41,56.7
75,Baseline,100,0.89,107.98,10.13,56.7
76,Baseline,100,0.7,104.23,5.77,56.7
77,Baseline,100,0.95,110.02,3.87,56.7
78,Baseline,100,0.84,106.77,7.77,56.7
79,Baseline,100,0.58,101.07,4.13,56.7
80,Baseline,100,0.98,108.82,9.79,56.68
81,Baseline,100,0.89,108.17,5.5,56.68
82,Baseline,100,0.74,106.03,9.8,56.68
83,Baseline,100,0.85,106.17,6.29,56.68
84,Baseline,100,0.78,107.49,4.73,56.68
85,Baseline,100,0.75,105.81,9.83,56.68
86,Baseline,100,0.79,105.26,7.3,56.68
87,Baseline,100,0.96,108.16,8.14,56.68
88,Baseline,100,1.02,107.19,7.49,56.68
89,Baseline,100,0.8,106.42,9.38,56.68
90,Baseline,100,1.04,108.64,5.75,56.68
91,Baseline,100,0.9,107.57,6.46,56.68
92,Baseline,100,1.0,108.92,8.17,56.68
93,Baseline,100,1.11,109.27,7.76,56.68
94,Baseline,100,0.93,108.74,4.5,56.68
95,Baseline,100,0.91,108.21,8.35,56.68
96,Baseline,100,0.83,106.79,2.4,56.68
97,Baseline,100,1.04,109.0,2.9,56.68
98,Baseline,100,0.96,108.65,4.44,56.68
99,Baseline,100,0.68,104.85,6.24,56.68
100,Baseline,100,0.84,104.18,11.66,56.68
